,Nature,HP/Atk/Def/SpA/SpD/Spe,UsePercentage,Pokemon
2948,Quiet,252/4/0/252/0/0,1.860%,Aegislash Shield Forme
2949,Brave,252/252/0/0/4/0,1.812%,Aegislash Shield Forme
2950,Sassy,252/0/196/0/56/0,1.730%,Aegislash Shield Forme
2951,Brave,252/84/108/0/60/0,1.022%,Aegislash Shield Forme
2952,Adamant,0/252/0/0/252/4,1.000%,Aegislash Shield Forme
2953,Adamant,0/252/4/0/0/252,0.887%,Aegislash Shield Forme
2954,Modest,252/0/0/252/0/0,0.870%,Aegislash Shield Forme
2955,Adamant,4/0/252/0/252/0,0.857%,Aegislash Shield Forme
2956,Adamant,0/252/0/0/0/252,0.608%,Aegislash Shield Forme
2957,Modest,252/0/4/244/4/4,0.607%,Aegislash Shield Forme
2958,Adamant,252/252/0/0/0/4,0.413%,Aegislash Shield Forme
2959,Sassy,0/252/0/100/156/0,0.326%,Aegislash Shield Forme
2960,Adamant,108/116/252/0/4/28,29.765%,Centiskorch
2961,Adamant,108/228/140/0/12/20,21.064%,Centiskorch
2962,Adamant,132/116/4/0/252/4,11.920%,Centiskorch
2963,Adamant,140/100/100/0/60/108,8.582%,Centiskorch
2964,Adamant,252/252/0/0/4/0,7.168%,Centiskorch
2965,Adamant,252/116/84/0/4/52,4.792%,Centiskorch
2966,Adamant,108/116/252/0/12/20,4.358%,Centiskorch
2967,Adamant,132/116/228/0/28/4,3.874%,Centiskorch
2968,Adamant,60/156/4/0/76/212,2.269%,Centiskorch
2969,Adamant,252/252/4/0/0/0,2.004%,Centiskorch
2970,Adamant,204/196/108/0/0/0,0.836%,Centiskorch
2971,Adamant,204/228/60/0/12/4,0.686%,Centiskorch
2972,Brave,252/252/0/0/4/0,0.466%,Centiskorch
2973,Adamant,236/252/12/0/4/4,0.419%,Centiskorch
2974,Impish,0/156/68/0/28/252,0.394%,Centiskorch
2975,Adamant,0/252/0/0/4/252,0.381%,Centiskorch
2976,Hardy,252/252/4/0/0/0,0.228%,Centiskorch
2977,Adamant,212/44/180/0/60/12,0.221%,Centiskorch
2978,Adamant,0/252/252/0/0/4,0.148%,Centiskorch
2979,Adamant,188/252/68/0/0/0,0.073%,Centiskorch
2980,Brave,212/116/76/0/100/0,86.832%,Greedent
2981,Adamant,244/104/36/0/124/0,12.694%,Greedent
2982,Adamant,252/252/0/0/4/0,0.354%,Greedent
2983,Brave,252/252/4/0/0/0,0.091%,Greedent
2984,Brave,252/252/0/0/4/0,0.028%,Greedent
2985,Brave,4/252/28/0/220/0,0.000%,Greedent
2986,Brave,0/252/140/0/116/0,0.000%,Greedent
2987,Careful,80/92/100/0/92/140,0.000%,Greedent
2988,Adamant,244/0/252/0/12/0,0.000%,Greedent
2989,Brave,212/0/68/0/228/0,0.000%,Greedent
2990,Brave,84/252/0/0/172/0,0.000%,Greedent
2991,Impish,252/0/252/0/4/0,0.000%,Greedent
2992,Sassy,196/0/76/0/236/0,0.000%,Greedent
2993,Relaxed,252/4/252/0/0/0,0.000%,Greedent
2994,Modest,252/0/0/252/4/0,0.000%,Greedent
2995,Impish,0/252/124/0/132/0,0.000%,Greedent
2996,Impish,252/96/4/0/156/0,0.000%,Greedent
2997,Impish,124/0/132/0/252/0,0.000%,Greedent
2998,Relaxed,4/0/252/0/252/0,0.000%,Greedent
2999,Brave,228/252/28/0/0/0,0.000%,Greedent
3000,Modest,0/0/0/252/4/252,36.120%,Porygon-Z
3001,Modest,244/0/0/252/12/0,32.360%,Porygon-Z
3002,Modest,236/0/4/124/52/92,12.818%,Porygon-Z
3003,Timid,4/0/0/252/0/252,9.174%,Porygon-Z
3004,Modest,4/0/0/252/0/252,7.684%,Porygon-Z
3005,Modest,252/0/0/252/4/0,0.855%,Porygon-Z
3006,Quiet,252/0/52/140/58/0,0.677%,Porygon-Z
3007,Modest,140/0/0/244/0/124,0.077%,Porygon-Z
3008,Timid,0/0/0/252/4/252,0.056%,Porygon-Z
3009,Sassy,108/0/116/252/32/0,0.051%,Porygon-Z
3010,Timid,0/0/4/252/0/252,0.047%,Porygon-Z
3011,Modest,148/0/0/196/0/164,0.023%,Porygon-Z
3012,Timid,132/0/108/152/116/0,0.014%,Porygon-Z
3013,Jolly,108/0/0/252/0/148,0.011%,Porygon-Z
3014,Hardy,132/0/0/124/0/252,0.009%,Porygon-Z
3015,Sassy,252/0/4/0/252/0,0.009%,Porygon-Z
3016,Modest,0/0/140/228/140/0,0.007%,Porygon-Z
3017,Modest,252/0/0/252/0/4,0.003%,Porygon-Z
3018,Modest,236/0/12/252/0/0,0.002%,Porygon-Z
3019,Modest,0/0/252/4/252/0,0.001%,Porygon-Z
3020,Timid,252/0/0/4/0/252,33.855%,Butterfree
3021,Timid,4/0/0/252/0/252,32.341%,Butterfree
3022,Timid,0/0/0/252/0/252,12.471%,Butterfree
3023,Serious,4/0/0/252/0/252,5.799%,Butterfree
3024,Modest,0/0/0/252/4/252,4.759%,Butterfree
3025,Timid,0/0/0/252/4/252,4.642%,Butterfree
3026,Timid,252/0/0/0/0/252,1.378%,Butterfree
3027,Hasty,252/0/0/252/0/4,1.054%,Butterfree
3028,Hardy,0/0/108/172/140/88,0.807%,Butterfree
3029,Timid,128/0/0/0/128/252,0.612%,Butterfree
3030,Timid,4/0/92/148/12/252,0.526%,Butterfree
3031,Hardy,4/0/0/252/0/252,0.354%,Butterfree
3032,Timid,0/0/12/244/0/252,0.290%,Butterfree
3033,Jolly,252/0/0/0/4/252,0.267%,Butterfree
3034,Timid,0/0/0/4/252/252,0.138%,Butterfree
3035,Hardy,136/0/0/144/0/228,0.132%,Butterfree
3036,Quiet,128/0/0/124/4/252,0.114%,Butterfree
3037,Calm,252/0/0/4/252/0,0.092%,Butterfree
3038,Timid,252/0/0/0/4/252,0.091%,Butterfree
3039,Serious,31/0/28/31/31/31,0.040%,Butterfree
3040,Timid,4/0/0/252/0/252,74.785%,Lucario
3041,Jolly,0/252/0/0/4/252,11.225%,Lucario
3042,Jolly,0/0/4/0/252/252,5.534%,Lucario
3043,Jolly,4/252/0/0/0/252,2.555%,Lucario
3044,Modest,44/0/52/196/76/140,1.732%,Lucario
3045,Jolly,0/252/0/0/0/252,1.322%,Lucario
3046,Timid,0/0/0/252/4/252,0.573%,Lucario
3047,Adamant,0/252/140/0/0/116,0.476%,Lucario
3048,Hasty,0/4/0/252/0/252,0.383%,Lucario
3049,Adamant,0/252/0/0/4/252,0.358%,Lucario
3050,Adamant,92/252/76/0/0/84,0.239%,Lucario
3051,Adamant,4/252/0/0/0/252,0.225%,Lucario
3052,Hardy,252/0/4/0/0/252,0.112%,Lucario
3053,Adamant,0/240/12/0/0/252,0.103%,Lucario
3054,Jolly,0/252/4/0/0/252,0.073%,Lucario
3055,Modest,180/0/0/252/0/76,0.061%,Lucario
3056,Hardy,4/252/0/0/0/252,0.055%,Lucario
3057,Sassy,252/0/4/0/252/0,0.031%,Lucario
3058,Jolly,0/252/0/0/4/156,0.028%,Lucario
3059,Hasty,0/252/0/4/0/252,0.022%,Lucario
3060,Brave,204/132/0/0/172/0,38.922%,Mudsdale
3061,Brave,252/220/0/0/36/0,33.184%,Mudsdale
3062,Sassy,252/0/4/0/252/0,14.976%,Mudsdale
3063,Adamant,252/252/0/0/4/0,4.735%,Mudsdale
3064,Brave,252/176/76/0/0/0,3.450%,Mudsdale
3065,Brave,204/244/0/0/60/0,1.467%,Mudsdale
3066,Brave,188/204/0/0/116/0,1.027%,Mudsdale
3067,Adamant,252/4/252/0/0/0,0.951%,Mudsdale
3068,Relaxed,252/4/252/0/0/0,0.438%,Mudsdale
3069,Careful,100/128/148/0/128/0,0.358%,Mudsdale
3070,Relaxed,140/252/28/0/84/0,0.305%,Mudsdale
3071,Careful,196/132/0/0/180/0,0.062%,Mudsdale
3072,Sassy,0/188/68/0/252/0,0.044%,Mudsdale
3073,Hardy,252/252/0/0/4/0,0.018%,Mudsdale
3074,Brave,252/252/0/0/4/0,0.015%,Mudsdale
3075,Sassy,68/88/156/0/196/0,0.015%,Mudsdale
3076,Careful,36/248/60/0/164/0,0.014%,Mudsdale
3077,Sassy,0/4/252/0/252/0,0.006%,Mudsdale
3078,Impish,252/4/252/0/0/0,0.003%,Mudsdale
3079,Adamant,252/148/0/0/108/0,0.003%,Mudsdale
3080,Timid,252/4/0/0/0/252,24.900%,Cherrim
3081,Modest,76/0/4/252/4/172,23.219%,Cherrim
3082,Timid,252/0/0/4/0/252,9.929%,Cherrim
3083,Hasty,0/252/0/4/0/252,9.274%,Cherrim
3084,Jolly,4/252/0/0/0/252,4.609%,Cherrim
3085,Jolly,0/252/0/0/4/252,4.594%,Cherrim
3086,Adamant,0/200/100/0/100/108,4.292%,Cherrim
3087,Timid,252/0/4/4/44/204,3.550%,Cherrim
3088,Hasty,252/4/0/0/0/252,3.074%,Cherrim
3089,Impish,252/0/252/0/4/0,2.216%,Cherrim
3090,Hardy,252/164/0/0/92/0,1.820%,Cherrim
3091,Quiet,252/0/4/252/0/0,1.160%,Cherrim
3092,Brave,252/252/4/0/0/0,0.925%,Cherrim
3093,Jolly,252/4/0/0/0/252,0.741%,Cherrim
3094,Timid,0/0/0/252/4/252,0.711%,Cherrim
3095,Hardy,252/0/0/0/124/132,0.674%,Cherrim
3096,Timid,252/0/0/0/4/252,0.600%,Cherrim
3097,Impish,212/4/180/0/60/52,0.563%,Cherrim
3098,Quiet,252/0/0/252/4/0,0.441%,Cherrim
3099,Modest,252/0/0/252/0/4,0.357%,Cherrim
3100,Quiet,252/0/36/148/68/0,82.447%,Exeggutor
3101,Timid,212/0/36/4/4/252,8.942%,Exeggutor
3102,Modest,0/0/0/220/220/68,4.871%,Exeggutor
3103,Jolly,212/4/4/0/36/252,3.421%,Exeggutor
3104,Timid,0/0/0/252/4/252,0.183%,Exeggutor
3105,Timid,36/0/4/252/4/212,0.112%,Exeggutor
3106,Quiet,4/0/0/252/252/0,0.017%,Exeggutor
3107,Modest,4/0/0/252/0/252,0.005%,Exeggutor
3108,Quiet,252/0/0/252/4/0,0.001%,Exeggutor
3109,Timid,60/0/0/196/0/252,0.000%,Exeggutor
3110,Relaxed,172/0/84/0/252/0,0.000%,Exeggutor
3111,Relaxed,252/4/252/0/0/0,0.000%,Exeggutor
3112,Quiet,252/0/0/252/0/0,0.000%,Exeggutor
3113,Relaxed,0/0/252/0/252/0,0.000%,Exeggutor
3114,Quiet,252/0/0/4/252/0,0.000%,Exeggutor
3115,Modest,108/0/148/252/0/0,0.000%,Exeggutor
3116,Bold,136/0/252/28/92/0,0.000%,Exeggutor
3117,Relaxed,252/0/4/252/0/0,0.000%,Exeggutor
3118,Hardy,4/0/0/252/0/252,0.000%,Exeggutor
3119,Modest,132/0/0/252/4/120,0.000%,Exeggutor
3120,Impish,252/0/100/0/64/92,61.366%,Altaria
3121,Jolly,244/4/4/0/4/252,26.090%,Altaria
3122,Calm,252/0/124/4/36/92,4.955%,Altaria
3123,Timid,4/0/132/0/120/252,2.574%,Altaria
3124,Impish,252/0/148/0/16/92,2.042%,Altaria
3125,Calm,252/0/220/0/36/0,1.480%,Altaria
3126,Timid,4/0/4/244/4/252,1.104%,Altaria
3127,Calm,252/0/0/4/252/0,0.184%,Altaria
3128,Modest,0/0/0/252/4/252,0.142%,Altaria
3129,Timid,252/0/4/0/0/252,0.057%,Altaria
3130,Timid,0/0/124/8/125/252,0.002%,Altaria
3131,Modest,252/0/0/252/0/4,0.001%,Altaria
3132,Timid,0/0/0/252/4/252,0.001%,Altaria
3133,Bold,100/0/148/100/156/0,0.001%,Altaria
3134,Hardy,0/252/0/0/0/252,0.000%,Altaria
3135,Calm,180/0/76/0/252/0,0.000%,Altaria
3136,Careful,252/0/52/0/204/0,0.000%,Altaria
3137,Mild,0/4/0/252/0/252,0.000%,Altaria
3138,Adamant,124/132/124/0/0/124,0.000%,Altaria
3139,Calm,88/0/68/8/92/252,0.000%,Altaria
3140,Bold,252/0/148/0/108/0,34.744%,Klefki
3141,Bold,252/0/252/0/4/0,16.065%,Klefki
3142,Bold,252/0/124/0/0/132,14.903%,Klefki
3143,Bold,252/0/252/4/0/0,12.772%,Klefki
3144,Bold,252/0/204/0/52/0,7.986%,Klefki
3145,Impish,252/0/124/0/128/0,3.954%,Klefki
3146,Impish,252/4/204/0/36/12,3.598%,Klefki
3147,Calm,252/0/0/0/240/16,1.733%,Klefki
3148,Bold,252/0/244/0/12/0,1.042%,Klefki
3149,Modest,236/0/68/156/44/4,1.033%,Klefki
3150,Bold,252/0/124/0/92/36,0.850%,Klefki
3151,Calm,252/0/4/0/252/0,0.242%,Klefki
3152,Calm,252/0/0/0/252/4,0.231%,Klefki
3153,Careful,252/0/148/0/108/0,0.206%,Klefki
3154,Bold,252/0/100/52/100/0,0.178%,Klefki
3155,Calm,252/0/124/0/132/0,0.173%,Klefki
3156,Calm,252/0/116/0/136/0,0.065%,Klefki
3157,Bold,252/0/164/0/92/0,0.045%,Klefki
3158,Bold,124/0/140/0/116/124,0.035%,Klefki
3159,Careful,252/0/4/0/252/0,0.032%,Klefki
3160,Timid,252/0/0/0/4/252,26.437%,Froslass
3161,Hardy,252/0/0/4/0/252,23.631%,Froslass
3162,Jolly,252/0/4/0/0/252,22.812%,Froslass
3163,Timid,252/0/0/4/0/252,21.430%,Froslass
3164,Jolly,252/0/0/0/4/252,2.548%,Froslass
3165,Hardy,4/0/252/0/252/0,0.806%,Froslass
3166,Timid,252/0/52/0/52/148,0.548%,Froslass
3167,Hasty,252/4/0/0/0/252,0.479%,Froslass
3168,Jolly,4/252/0/0/0/252,0.444%,Froslass
3169,Timid,0/0/0/252/4/252,0.331%,Froslass
3170,Modest,4/0/0/252/0/252,0.205%,Froslass
3171,Hasty,0/252/0/4/0/252,0.196%,Froslass
3172,Mild,4/0/0/252/0/252,0.100%,Froslass
3173,Timid,252/0/52/0/56/148,0.021%,Froslass
3174,Jolly,0/252/4/0/0/252,0.008%,Froslass
3175,Jolly,196/60/0/0/0/252,0.002%,Froslass
3176,Hasty,0/4/0/252/0/252,0.001%,Froslass
3177,Timid,4/0/0/252/0/252,0.001%,Froslass
3178,Hardy,0/252/0/0/0/252,0.000%,Froslass
3179,Jolly,0/0/4/0/252/252,0.000%,Froslass
3180,Impish,252/0/100/0/156/0,50.345%,Gigalith
3181,Impish,244/0/236/0/28/0,30.233%,Gigalith
3182,Relaxed,252/0/252/0/4/0,12.349%,Gigalith
3183,Adamant,244/252/0/0/12/0,1.357%,Gigalith
3184,Adamant,252/252/0/0/4/0,1.295%,Gigalith
3185,Relaxed,4/0/252/0/252/0,0.973%,Gigalith
3186,Adamant,252/252/4/0/0/0,0.817%,Gigalith
3187,Adamant,160/204/140/0/0/0,0.685%,Gigalith
3188,Careful,252/0/252/0/4/0,0.649%,Gigalith
3189,Brave,252/252/0/0/4/0,0.553%,Gigalith
3190,Brave,252/0/4/0/252/0,0.268%,Gigalith
3191,Brave,252/252/4/0/0/0,0.200%,Gigalith
3192,Impish,252/0/252/0/0/0,0.163%,Gigalith
3193,Brave,244/252/0/0/12/0,0.037%,Gigalith
3194,Brave,252/148/0/0/108/0,0.018%,Gigalith
3195,Relaxed,148/0/252/0/108/0,0.017%,Gigalith
3196,Sassy,252/4/0/0/252/0,0.011%,Gigalith
3197,Careful,252/4/0/0/252/0,0.008%,Gigalith
3198,Brave,0/252/252/0/4/0,0.007%,Gigalith
3199,Impish,4/0/252/0/252/0,0.005%,Gigalith
3200,Quiet,252/0/0/252/4/0,26.183%,Jellicent
3201,Calm,252/0/0/4/252/0,15.842%,Jellicent
3202,Quiet,124/0/100/252/32/0,14.852%,Jellicent
3203,Relaxed,252/0/156/0/100/0,8.118%,Jellicent
3204,Relaxed,252/0/252/4/0/0,8.003%,Jellicent
3205,Quiet,124/0/132/252/0/0,7.598%,Jellicent
3206,Relaxed,252/0/188/68/0/0,6.320%,Jellicent
3207,Relaxed,252/0/164/0/92/0,3.874%,Jellicent
3208,Relaxed,252/0/4/252/0/0,2.657%,Jellicent
3209,Modest,252/0/0/252/4/0,1.064%,Jellicent
3210,Quiet,204/0/52/252/0/0,1.027%,Jellicent
3211,Impish,252/0/252/0/4/0,0.920%,Jellicent
3212,Quiet,252/0/132/124/0/0,0.766%,Jellicent
3213,Sassy,252/0/60/0/196/0,0.706%,Jellicent
3214,Modest,204/0/36/252/4/12,0.493%,Jellicent
3215,Sassy,252/0/252/0/4/0,0.455%,Jellicent
3216,Calm,252/0/252/4/0/0,0.318%,Jellicent
3217,Relaxed,244/0/228/0/36/0,0.206%,Jellicent
3218,Relaxed,252/0/252/0/4/0,0.180%,Jellicent
3219,Quiet,4/0/0/252/252/0,0.118%,Jellicent
3220,Adamant,252/252/0/0/4/0,19.730%,Riolu
3221,Jolly,252/0/0/0/4/252,16.883%,Riolu
3222,Jolly,252/4/0/0/0/252,14.030%,Riolu
3223,Careful,236/0/0/0/68/204,10.424%,Riolu
3224,Jolly,4/252/0/0/0/252,7.864%,Riolu
3225,Timid,252/0/4/0/0/252,5.405%,Riolu
3226,Modest,0/0/0/252/0/252,4.926%,Riolu
3227,Careful,252/4/0/0/252/0,4.330%,Riolu
3228,Sassy,0/0/252/0/252/0,2.559%,Riolu
3229,Hardy,0/248/0/0/0/252,2.510%,Riolu
3230,Sassy,252/0/0/0/252/0,2.092%,Riolu
3231,Careful,196/252/28/0/28/0,1.862%,Riolu
3232,Jolly,252/4/12/0/44/196,1.412%,Riolu
3233,Calm,252/0/4/0/252/0,1.270%,Riolu
3234,Jolly,0/252/4/0/0/252,1.157%,Riolu
3235,Impish,252/0/252/0/4/0,0.873%,Riolu
3236,Jolly,0/252/0/0/4/252,0.363%,Riolu
3237,Adamant,252/4/0/0/0/252,0.353%,Riolu
3238,Jolly,0/252/0/0/0/252,0.343%,Riolu
3239,Careful,252/0/252/0/4/0,0.327%,Riolu
3240,Calm,204/0/92/0/212/0,31.428%,Mandibuzz
3241,Jolly,0/252/0/0/4/252,29.069%,Mandibuzz
3242,Bold,252/0/60/4/188/4,24.522%,Mandibuzz
3243,Jolly,4/252/0/0/0/252,8.328%,Mandibuzz
3244,Impish,0/0/252/0/252/0,4.727%,Mandibuzz
3245,Bold,164/0/100/0/244/0,1.000%,Mandibuzz
3246,Impish,252/0/156/0/0/100,0.333%,Mandibuzz
3247,Impish,248/0/252/0/8/0,0.212%,Mandibuzz
3248,Bold,252/0/92/0/144/20,0.167%,Mandibuzz
3249,Bold,252/0/60/4/128/64,0.059%,Mandibuzz
3250,Careful,252/0/116/0/140/0,0.056%,Mandibuzz
3251,Calm,252/0/4/0/252/0,0.038%,Mandibuzz
3252,Impish,164/4/156/0/84/100,0.028%,Mandibuzz
3253,Calm,252/0/0/0/252/4,0.006%,Mandibuzz
3254,Jolly,0/252/0/0/0/252,0.006%,Mandibuzz
3255,Bold,252/0/116/0/140/0,0.004%,Mandibuzz
3256,Bold,252/0/124/4/76/52,0.004%,Mandibuzz
3257,Bold,204/0/196/0/108/0,0.004%,Mandibuzz
3258,Bold,252/0/252/4/0/0,0.004%,Mandibuzz
3259,Adamant,252/252/0/0/0/0,0.002%,Mandibuzz
3260,Adamant,252/252/0/0/4/0,68.260%,Lurantis
3261,Brave,252/116/140/0/0/0,14.495%,Lurantis
3262,Brave,244/252/0/0/12/0,4.889%,Lurantis
3263,Relaxed,252/0/76/0/180/0,3.377%,Lurantis
3264,Naughty,0/212/0/188/0/108,2.552%,Lurantis
3265,Adamant,252/228/0/0/0/28,2.367%,Lurantis
3266,Adamant,252/156/0/0/100/0,1.747%,Lurantis
3267,Brave,252/64/100/0/92/0,0.620%,Lurantis
3268,Brave,252/196/60/0/0/0,0.449%,Lurantis
3269,Adamant,220/252/0/0/0/36,0.318%,Lurantis
3270,Adamant,108/156/0/0/0/244,0.317%,Lurantis
3271,Adamant,252/188/20/0/12/36,0.185%,Lurantis
3272,Jolly,108/228/4/0/60/108,0.142%,Lurantis
3273,Brave,244/252/12/0/0/0,0.131%,Lurantis
3274,Adamant,252/252/0/0/0/0,0.080%,Lurantis
3275,Sassy,252/0/4/0/252/0,0.030%,Lurantis
3276,Sassy,252/4/0/0/252/0,0.013%,Lurantis
3277,Adamant,116/252/0/0/4/132,0.011%,Lurantis
3278,Adamant,100/252/0/0/0/156,0.007%,Lurantis
3279,Brave,248/252/0/8/0/0,0.006%,Lurantis
3280,Timid,252/0/4/0/0/252,39.912%,Latias
3281,Timid,252/0/12/4/60/180,21.517%,Latias
3282,Bold,252/0/252/0/4/0,13.149%,Latias
3283,Timid,252/0/0/212/0/44,7.871%,Latias
3284,Modest,252/0/100/76/4/76,7.649%,Latias
3285,Timid,252/0/0/4/0/252,4.152%,Latias
3286,Timid,252/0/0/0/4/252,2.085%,Latias
3287,Hardy,164/0/108/68/164/0,1.470%,Latias
3288,Modest,252/0/36/76/4/140,0.483%,Latias
3289,Timid,0/0/4/252/0/252,0.481%,Latias
3290,Calm,252/0/0/4/252/0,0.425%,Latias
3291,Modest,252/0/0/252/4/0,0.171%,Latias
3292,Jolly,252/4/0/0/0/252,0.140%,Latias
3293,Timid,252/0/52/4/0/196,0.113%,Latias
3294,Timid,212/0/44/0/0/252,0.111%,Latias
3295,Timid,28/0/228/0/0/252,0.056%,Latias
3296,Relaxed,216/0/252/0/40/0,0.045%,Latias
3297,Timid,252/0/0/76/0/180,0.042%,Latias
3298,Careful,252/0/0/0/4/252,0.034%,Latias
3299,Timid,0/0/0/252/4/252,0.031%,Latias
3300,Quiet,252/0/0/252/4/0,38.289%,Alolan Exeggutor
3301,Sassy,124/0/196/0/188/0,26.299%,Alolan Exeggutor
3302,Sassy,252/0/4/0/252/0,9.884%,Alolan Exeggutor
3303,Brave,252/252/0/0/4/0,7.878%,Alolan Exeggutor
3304,Sassy,252/0/100/0/156/0,5.630%,Alolan Exeggutor
3305,Sassy,252/0/116/0/140/0,5.352%,Alolan Exeggutor
3306,Sassy,252/0/60/0/196/0,1.577%,Alolan Exeggutor
3307,Quiet,252/0/4/252/0/0,1.438%,Alolan Exeggutor
3308,Sassy,252/12/84/4/156/0,1.057%,Alolan Exeggutor
3309,Quiet,236/0/0/252/20/0,0.796%,Alolan Exeggutor
3310,Relaxed,252/0/36/0/220/0,0.566%,Alolan Exeggutor
3311,Relaxed,252/0/252/0/4/0,0.547%,Alolan Exeggutor
3312,Modest,252/0/0/252/0/4,0.395%,Alolan Exeggutor
3313,Sassy,252/0/92/0/164/0,0.218%,Alolan Exeggutor
3314,Modest,4/0/0/252/0/252,0.034%,Alolan Exeggutor
3315,Sassy,252/12/84/36/124/0,0.014%,Alolan Exeggutor
3316,Sassy,252/0/84/0/172/0,0.008%,Alolan Exeggutor
3317,Hardy,44/76/60/148/80/100,0.005%,Alolan Exeggutor
3318,Adamant,252/252/0/0/4/0,0.003%,Alolan Exeggutor
3319,Sassy,252/4/4/4/244/0,0.003%,Alolan Exeggutor
3320,Adamant,0/252/0/0/4/252,41.472%,Dragonite
3321,Adamant,108/252/36/0/12/100,9.916%,Dragonite
3322,Adamant,212/44/0/0/0/252,8.690%,Dragonite
3323,Adamant,0/140/116/0/0/252,7.783%,Dragonite
3324,Adamant,4/252/0/0/0/252,7.011%,Dragonite
3325,Adamant,100/252/0/0/0/156,6.899%,Dragonite
3326,Careful,196/12/132/0/12/156,4.089%,Dragonite
3327,Adamant,52/252/4/0/4/196,2.497%,Dragonite
3328,Modest,4/0/0/252/0/252,2.192%,Dragonite
3329,Modest,252/0/0/252/0/4,1.526%,Dragonite
3330,Adamant,252/252/0/0/4/0,1.297%,Dragonite
3331,Modest,4/0/124/252/124/0,1.282%,Dragonite
3332,Jolly,0/252/0/0/4/252,1.033%,Dragonite
3333,Adamant,4/252/4/0/4/244,0.973%,Dragonite
3334,Timid,108/0/0/252/4/144,0.544%,Dragonite
3335,Adamant,108/252/0/0/0/148,0.486%,Dragonite
3336,Adamant,252/252/0/0/0/4,0.294%,Dragonite
3337,Jolly,0/248/0/0/4/252,0.293%,Dragonite
3338,Adamant,252/252/4/0/0/0,0.270%,Dragonite
3339,Modest,252/0/0/252/4/0,0.263%,Dragonite
3340,Jolly,84/252/4/0/4/164,40.662%,Darmanitan Standard Mode
3341,Jolly,28/220/36/0/4/220,31.306%,Darmanitan Standard Mode
3342,Jolly,4/252/0/0/0/252,14.798%,Darmanitan Standard Mode
3343,Adamant,0/252/0/0/4/252,9.630%,Darmanitan Standard Mode
3344,Jolly,244/0/12/0/0/252,2.064%,Darmanitan Standard Mode
3345,Adamant,0/252/0/0/0/252,1.125%,Darmanitan Standard Mode
3346,Adamant,252/252/0/0/0/4,0.214%,Darmanitan Standard Mode
3347,Gentle,156/0/132/0/0/220,0.097%,Darmanitan Standard Mode
3348,Jolly,0/252/0/0/4/252,0.048%,Darmanitan Standard Mode
3349,Careful,252/0/4/0/252/0,0.043%,Darmanitan Standard Mode
3350,Jolly,92/252/0/0/0/164,0.007%,Darmanitan Standard Mode
3351,Jolly,252/0/4/0/0/252,0.004%,Darmanitan Standard Mode
3352,Hardy,124/100/116/0/0/164,0.001%,Darmanitan Standard Mode
3353,Jolly,0/0/0/0/0/252,0.001%,Darmanitan Standard Mode
3354,Naughty,105/140/52/30/55/123,0.001%,Darmanitan Standard Mode
3355,Adamant,4/252/0/0/0/252,0.000%,Darmanitan Standard Mode
3356,Adamant,8/100/164/0/0/236,0.000%,Darmanitan Standard Mode
3357,Hardy,0/252/0/0/0/252,0.000%,Darmanitan Standard Mode
3358,Jolly,252/4/0/0/0/252,0.000%,Darmanitan Standard Mode
3359,Brave,0/4/252/0/252/0,0.000%,Darmanitan Standard Mode
3360,Calm,252/0/0/4/252/0,38.536%,Cradily
3361,Relaxed,252/0/148/0/108/0,15.137%,Cradily
3362,Quiet,252/0/4/252/0/0,11.969%,Cradily
3363,Modest,252/0/0/252/4/0,4.941%,Cradily
3364,Modest,212/0/84/212/0/0,4.743%,Cradily
3365,Bold,252/0/252/0/4/0,4.628%,Cradily
3366,Modest,252/0/108/116/28/0,4.030%,Cradily
3367,Quiet,124/4/100/148/132/0,3.780%,Cradily
3368,Modest,252/0/4/252/0/0,3.759%,Cradily
3369,Careful,252/4/0/0/252/0,2.705%,Cradily
3370,Careful,252/0/252/0/4/0,1.593%,Cradily
3371,Sassy,252/0/132/16/108/0,0.841%,Cradily
3372,Calm,252/0/4/0/252/0,0.597%,Cradily
3373,Hardy,252/0/252/0/4/0,0.483%,Cradily
3374,Modest,252/0/20/228/4/4,0.437%,Cradily
3375,Bold,252/0/4/0/252/0,0.316%,Cradily
3376,Hardy,252/8/0/68/180/0,0.301%,Cradily
3377,Careful,252/0/4/0/252/0,0.275%,Cradily
3378,Modest,0/0/252/4/252/0,0.223%,Cradily
3379,Quiet,116/0/116/252/20/0,0.172%,Cradily
3380,Jolly,0/252/0/0/4/252,44.854%,Obstagoon
3381,Jolly,4/252/0/0/0/252,28.810%,Obstagoon
3382,Jolly,180/140/4/0/20/164,12.048%,Obstagoon
3383,Jolly,12/236/4/0/4/252,9.128%,Obstagoon
3384,Adamant,4/252/0/0/0/252,3.403%,Obstagoon
3385,Timid,4/0/0/0/252/252,0.867%,Obstagoon
3386,Impish,252/220/36/0/0/0,0.298%,Obstagoon
3387,Adamant,0/252/0/0/4/252,0.225%,Obstagoon
3388,Jolly,252/0/0/0/28/228,0.097%,Obstagoon
3389,Hardy,4/252/0/0/0/252,0.090%,Obstagoon
3390,Jolly,0/252/0/0/6/252,0.070%,Obstagoon
3391,Careful,4/0/252/0/252/0,0.070%,Obstagoon
3392,Jolly,252/28/0/0/0/228,0.011%,Obstagoon
3393,Jolly,4/244/0/0/8/252,0.007%,Obstagoon
3394,Adamant,164/252/4/0/28/60,0.005%,Obstagoon
